Review Text,Sentiment
"i typically don't take the time to share reviews, but my recent experience with amazon has been deeply frustrating and deserves to be addressed.as an hvac business, i rely heavily on timely and reliable deliveries. i placed an order for a 16"" duct, which was crucial for one of our ongoing projects. the order came with a guaranteed delivery date that amazon failed to meet. after several unsuccessful attempts to reach amazon (with no accessible customer service contact numbers or direct support options), i was forced to contact the third-party seller directly. the seller assured me that the product had been dispatched on time and advised me to resolve the issue with amazon. despite being provided with a phone number that i could not find anywhere on amazonâs platform, i eventually managed to speak with an amazon representative. i was informed that the product had been lost, and while a refund was issued, the real issue remains unresolved.i need the material, not just a refund. when i attempted to reorder the product, i discovered that the price had increased by $150 â an unjustifiable increase given the circumstances. i explained the situation to the representative, emphasizing that i had already quoted my customer the original price and could not go back to them with an unexplained price hike. in summary, my experience with amazon has been one of misleading pricing, unreliable delivery, and a lack of customer support. this has caused significant delays for my business and damaged my relationship with my customer.i expect amazon to resolve this by honoring the original price and ensuring the prompt delivery of the product.sincerely,  alex garcia  attic crawl inc.",Negative
"iâve been using amazon for several years, and it consistently delivers a great shopping experience. the website is user-friendly, making it easy to find what i need quickly. from books to electronics, the variety of products is impressive. the customer reviews are helpful in making informed decisions, and iâve found the delivery to be fast and reliable. in the rare instance iâve needed to return an item, the process was smooth and hassle-free. overall, amazon provides convenience and value, and i highly recommend it to others.",Positive
"i submitted every document they requested, and they reply me with ""we closed your account""?? they said contact customer service if i think this was a mistake, but the thing is there is no customer service if i dont have an account! gotta do better uncle jeff",Positive
"you could say a lot of things about amazon, but historically they have had very good customer service. this seems to no longer be the case. i've wasted an hour and a half on an online chat and a phone call. had to repeat myself many times and was given inaccurate information - total waste of time. in the end they gave me a â£5 gift card in recognition of my poor experience, which i found a bit insulting under the circumstances",Negative
i placed a order september 9 2024they said i get it on september 12 on the day delivery day i get a text saying the delivery day has changed to september 18this is not going to work for me i am a prim member and i have to wait this long. well i don't want it then but i have wait until september 19 to return it .i can understand the next day .this is not the way to do business ,Negative
"i returned a product using my amazon prime card, product was return and a refund should have been issued to my prime card, but no they went and issued me a gift card without any notification through mail, email or account. never sent me a code or card in case i wanted to use my funds to my balance. what kind of service is that. if i would have used my bank card or any other credit card how would have my funds been returned? i went to make a quick purchase again using my prime card and the site went using my gift card without giving me an option on my card. now that i innocently used the gift card they donât want to send me a gift card or apply remaining balance to my account where it should have been placed from beginning. how unprofessional and frustrating this is when any time there is a return it is to be given back to the card used not how ever they chose. if i would have paid cash then yes i can understand a gift card but no cash was used. i want my funds added to my account or a gift card sent out that can be used to make payment to my card. what horrible service amazon is giving. ",Negative
amazon india the worst customer service company compared to amazon anywhere else in the world. agents are bloody third class idiat. they know nothing and they will waste ur time understanding ur problem. amazon india is selling duplicate products. they dont offer hassle free refunds. i purchased a table fountain from themand the day i opened the box it was defective. they agreed to pick up the unit the next day. as expected they did not and when contacted they put a status that customer refused to the deliver the product. just see these idiat. then when i contacted them they said investigation is on and it will take another 4 days to resolve the issue. after 4 days when in contacted these rascals they are saying that their investigation is complete and nothing is wrong and they cannot helpwith the refund. what should i say now? just see their bloody service. they should be taken to court for cheating and fraud moral of the story do not i repeat do not buy expensive products from amazon better go to a showroom and get one u can feel touch and get a view of the unit and decide. with amazon u will face a hard time. third class e commerce site never to buy again,Negative
horrible horrendous company. amazon fresh just delivered damaged products and expired item and refuse to refund me unless i send pictures. they keep delivering my order and not following instructions. iâm going to walmart delivery service if they donât get it together. this is so frustrating!,Negative
today september 4th 2024 finding out that your amazon employees have rigged alexa to actually say when asked about donald trump that they can't comment on politics but when asked about kamala harris they go into a whole bio. this is absolutely disgusting ! this will definitely influence my buying from you people. you probably don't give a damn whether i buy from you or not but hopefully there's others that feel the same way. disgusting,Negative
"ordered august 30th, the first one, for an elderly relative who can no longer hear the phone ring. nurses cannot get a hold of him daily. amazon said ""it got lost"", then empty promises from amazon customer service and supervisors. waited and then decided to order another on amazon. my profile specifically says ""open 730 am to 900 pm"". that delivery person tried at 612 am. hello read your instructions ps, that one is now lost, again amazon customer service is useless...â¦..""3rd time they said tomorrow"" it is now september 5, 2024 - think they exceeded their business model. walmart, target and ebay are quicker and now carry almost everything. ",Positive
"i bought outdoor water timers for garden and yard from amazon, and the cheaper foreign brands have failed. so did many of my plants. i read the manuals and they say that the maximum operating temperature is less than 110 degrees fahrenheit. amazon wouldn't refund my money, i reached them by phone and told them that amazon needed to discontinue selling products that are not rated to be used in regions that experience higher temperatures than stated in product manuals. this is going to be a huge problem in the future, plastics, electronics and other temperature sensitive outdoor products will degrade or stop working and retailers should make operating temperatures a basic factor in choosing products to sell to consumers. in 2024 phoenix, arizona had 64 days when temperatures were 110 or above. lawnmowers, outdoor equipment, hoses, lawn furniture and other products will have to be modified to withstand higher temperatures or they are going to fail or wear out much sooner than in the past. geologist in arizona",Negative
"i purchased a $10 cpu cooler, the seller was amazon themselves. i should've gotten the fan itself, thermal paste & backplate, but all i got is the fan.i was suspicious the second i realized i just got a fan, but i thought, maybe it's supposed to be like that (it's not) and then i applied thermal paste on my cpu, and tried screwing the cpu cooler down, but it didn't work. i need the backplate to screw it down.there is no option to actually contact support, i can either get my money back or a new product, both options require i send the product back. i do not get compensated for the expensive thermal paste of my own that i used.i'm writing this part a while later, i have sent the package back to where it came from, you can check on dhl.se this number 7135563356i also have a receipt where it said i'm returning this from dhlthey took a while to update anything, for the first nine days, it said i haven't even dropped of my package yet but i have. i got my money the next day.don't give amazon the benefit of the doubt like i did, just buy from websites with convinient money back policies. i told the manufacturers about amazon too.what should amazon have done: send either a whole product, the missing parts, or give me my money back, without requiring me to ship the item back.",Positive
i have had nothing but problems with amazon for over a month where i sent a fire tablet back to them to be repaired under warranty but then they decided to replace it. but 6 weeks later i still have not received a replacement. so i am now â£100 down for a tablet i ainât got ,Negative
"1.7 rating at this time of this review, really? i have no problems with amazon. there is a huge selection, the price is generally lower but not always, shipping is great, and returning things is easy. i am very concerned about alexa though, it is extremely biased, which is a huge concern as people stop doing research and rely on these devices to tell them what is ""truth.""i would also add that allowing chinese products that follow neither the metric nor standard measuring systems should be indicated in a list or else the seller gets a warning. ",Positive
"drivers don't bother knocking/ringing the bell, even when you're clearly in. left â£500 worth of electronics at the end of my drive (next to the pavement) of a busy road. won't be using again. ",Positive
if i could give zero stars they would get. the worst piece of shiiiiit in the univers. ordered a megazord power ranger robot in april and somehow they dont manage to get it to me. seems like i can't even get a refund now ? dont buy your stuff on amazon. its shi.. shi.. shi... end of freaking tour written by peter ,Negative
terrible they dont care if they lost your package terrible refund & replacement policy if they see that a fulfillment center lost my package they should contact the facility who lost my package or send a replacement if they already know it was lost doesnât make any sense this company has working employees that are nothing but thieves and customer service is horrible always telling u to wait instead of them fixing the problem knowing if they already lost a package from dbk4 fulfillment center my tracking show no update and they already know my package was lost they love to make people upset honestly terrible company tracking: tba315683138460,Negative
absolutely horrible service and quality of items. no regard for customer satisfaction of sense of responsibility for customer satisfaction. does not want to give refund for faulty poor quality items and are the absolute worst at helping customers with issues. bought a backpack that started breaking just less than a week after use and the refuse to grant me a refund. that's is so unacceptable and disgusting ,Negative
"absolutely terrible user experience in eu!3-6 month delivery time on standard items ""dispatched by amazon""?!and impossible to get in contact with ""customer service"" (probably they have no such thing!)furthermore the site is flooded with chinese crap - and i'm not sure how to see what is copies and what is real branded products.update sep.6th: although amazon still completely ignores me they have now seemingly shipped the majority of the order - so only one item remains with looong delivery time. at least that indicates to me that /someone/ is reading the feedback and is indeed considering it. i'll give them a star based on that assumption alone...",Negative
"i have been a prime member since 2016. in the years, the service has increased in price. something else i noticed since lockdown: i can find most items i buy on amazon cheaper elsewhere even when i include shipping. the only advantage prime has is the speed of delivery (most of the time i can get it next day) pretty soon, it wonât be worth it: disappointed. ",Positive
"not only does the owner own the washington post, where they regularly print lies and take all the real facts out of context, they're alexa is rigged for the democrats and then all of the sellers on that platform get taxed 30% of everything they sell. so amazon is like a mafia style bully with marxist witt",Positive
"i never use amazon because of a bad experience several years ago (hair dryer burst into flames and amazon didn't want to know). however, my daughter has used amazon consistantly, being reasonably satisfied. however, experience this week has changed her opinion. she ordered a power washer. when it arrived, the cardboard box it was in appeared to have been opened and very roughly resealed. on opening the box, two of the main components were missing, namely the gun and handle. on phoning amazon, we were told that we had to deal directly with the supplier. complaining about this, after over 40 minutes on the phone, we got a promise of a refund. we asked for that to be confirmed in an email. email arrived stating we had to deal directly with supplier! phoned back but got nowhere. you would have thought that, considering the disgraceful condition the washer was delivered in, amazon would have wanted to be involved.",Positive
"amazon is absolute rubbish.  forces you to create an amazon account to use the apps on the tv, then blocks the account to verify payment details. you submit the details then they tell you that you have to wait 2 days to have access to the apps on the tv again.  cannot watch netflix, youtube nothing because the amazon account has taken over everything on the tv which is blocked.  what a joke!!!  deserves no stars at all for such incompetence. ",Positive
"i purchase a lot from amazon being easy for next day delivery and they always have what you want.  the street i live in is ..... street leading to ...... street  hence there is 2 streets with the same door number.  the delivery drivers get confused and often deliver it to the wrong house.  i have gone to the other house in numerous occasions and been advised they do not have any parcels for me.  the photos of the delivery are not even of my property or that of the other house with the same number.  im sure the drivers have stock photos.. anyway.  upon contacting amazon i am more or less accused of steeling due to the amount of missed parcels and me requesting refunds or replacement.  i received an email with their return policy.  again making me out to be an untruthful person and basically i found this quite offensive.  i reluctantly purchase  from them now and receive delivery to a locker ensuring that i receive them.  the 2 nearest lockers are in the co-op shops that close at 9.00pm. this can be difficult to do when you work shifts.  basically my complaint is the delivery drivers need to take more care.  plus, amazon should look into this and not accuse customers of being untruthful. ... rant over.. sorry !!!",Negative
yesterday i bought kids rubberband for 280 rs.the way the product is showed in the image was satisfactory for me.but today when i got delivered it was too small.not happy with the product.shining diva fashion is the product name ,Positive
"amazon just does not have the customer first anymore. since covid the delivery service has got worse and worse. you pay for prime, you get promised 2 day/ next day delivery when you make your transaction. then itâs delay here new delivery date. you contact customer support all you get is we are sorry. when will customer service understand i donât want your âwe are sorryâ i paid a premium cost for a service and you did not provide. why am i not refunded my prime membership if you cannot deliver on your promise. what i have to do is wait till the package eventually turns up. the service has got more expensive and and less reliable.  need walmart and the likes to pick up and take the crown. amazon is not the cheapest so iâm paying more anyway companies just need to deliver on there promises and iâm jumping. iâm not loyal to amazon anymore they treat customers like cash cows.",Negative
this is the second time i have returned an item and amazons automatic refund is more than what i paid.  i get an error when i check refund status and refund cannot be processed.  i call multiple times including talk to so called supervisors that cannot fix this issue and process my refund.  i am getting sick of not getting this resolved and no one from amazon can fix their auto generated refund system to refund my return.  amazon makes sure to charge you the minute it ships out but does not care enough for their customer service to refund when it is shipped back.  i am highly disappointed with amazons lack to help get me my refund due to their computer glitch.,Negative
